,Flight_Date,Route,Carrier,Scheduled_Departure_Time,Aircraft_Capacity,Actual_Pax_Count,Is_Weekend,Is_Holiday_Period,CHML_Ordered,Flight_ID
0,2024-01-01,EDI-DXB,Emirates,2024-01-01 14:00:00,259,220,False,False,9,EKEDIDXB1400
1,2024-01-01,GLA-DXB,Emirates,2024-01-01 20:00:00,427,369,False,False,6,EKGLADXB2000
2,2024-01-02,EDI-DXB,Emirates,2024-01-02 14:00:00,259,227,False,False,21,EKEDIDXB1400
3,2024-01-02,GLA-DXB,Emirates,2024-01-02 20:00:00,427,384,False,False,18,EKGLADXB2000
4,2024-01-03,EDI-DXB,Emirates,2024-01-03 14:00:00,259,238,False,False,14,EKEDIDXB1400
5,2024-01-03,GLA-DXB,Emirates,2024-01-03 20:00:00,427,365,False,False,20,EKGLADXB2000
6,2024-01-04,EDI-DXB,Emirates,2024-01-04 14:00:00,259,223,False,False,21,EKEDIDXB1400
7,2024-01-04,GLA-DXB,Emirates,2024-01-04 20:00:00,427,385,False,False,27,EKGLADXB2000
8,2024-01-05,EDI-DXB,Emirates,2024-01-05 14:00:00,259,232,False,False,8,EKEDIDXB1400
9,2024-01-05,GLA-DXB,Emirates,2024-01-05 20:00:00,427,365,False,False,17,EKGLADXB2000
10,2024-01-06,EDI-DXB,Emirates,2024-01-06 14:00:00,259,235,True,False,13,EKEDIDXB1400
11,2024-01-06,GLA-DXB,Emirates,2024-01-06 20:00:00,427,379,True,False,25,EKGLADXB2000
12,2024-01-07,EDI-DXB,Emirates,2024-01-07 14:00:00,259,222,True,False,19,EKEDIDXB1400
13,2024-01-07,GLA-DXB,Emirates,2024-01-07 20:00:00,427,393,True,False,12,EKGLADXB2000
14,2024-01-08,EDI-DXB,Emirates,2024-01-08 14:00:00,259,237,False,False,7,EKEDIDXB1400
15,2024-01-08,GLA-DXB,Emirates,2024-01-08 20:00:00,427,381,False,False,22,EKGLADXB2000
16,2024-01-09,EDI-DXB,Emirates,2024-01-09 14:00:00,259,229,False,False,13,EKEDIDXB1400
17,2024-01-09,GLA-DXB,Emirates,2024-01-09 20:00:00,427,383,False,False,17,EKGLADXB2000
18,2024-01-10,EDI-DXB,Emirates,2024-01-10 14:00:00,259,223,False,False,25,EKEDIDXB1400
19,2024-01-10,GLA-DXB,Emirates,2024-01-10 20:00:00,427,382,False,False,26,EKGLADXB2000
20,2024-01-11,EDI-DXB,Emirates,2024-01-11 14:00:00,259,224,False,False,25,EKEDIDXB1400
21,2024-01-11,GLA-DXB,Emirates,2024-01-11 20:00:00,427,380,False,False,39,EKGLADXB2000
22,2024-01-12,EDI-DXB,Emirates,2024-01-12 14:00:00,259,229,False,False,15,EKEDIDXB1400
23,2024-01-12,GLA-DXB,Emirates,2024-01-12 20:00:00,427,392,False,False,21,EKGLADXB2000
24,2024-01-13,EDI-DXB,Emirates,2024-01-13 14:00:00,259,218,True,False,29,EKEDIDXB1400
25,2024-01-13,GLA-DXB,Emirates,2024-01-13 20:00:00,427,403,True,False,13,EKGLADXB2000
26,2024-01-14,EDI-DXB,Emirates,2024-01-14 14:00:00,259,225,True,False,16,EKEDIDXB1400
27,2024-01-14,GLA-DXB,Emirates,2024-01-14 20:00:00,427,381,True,False,29,EKGLADXB2000
28,2024-01-15,EDI-DXB,Emirates,2024-01-15 14:00:00,259,239,False,False,12,EKEDIDXB1400
29,2024-01-15,GLA-DXB,Emirates,2024-01-15 20:00:00,427,362,False,False,11,EKGLADXB2000
30,2024-01-16,EDI-DXB,Emirates,2024-01-16 14:00:00,259,224,False,False,13,EKEDIDXB1400
31,2024-01-16,GLA-DXB,Emirates,2024-01-16 20:00:00,427,383,False,False,17,EKGLADXB2000
32,2024-01-17,EDI-DXB,Emirates,2024-01-17 14:00:00,259,230,False,False,15,EKEDIDXB1400
33,2024-01-17,GLA-DXB,Emirates,2024-01-17 20:00:00,427,390,False,False,30,EKGLADXB2000
34,2024-01-18,EDI-DXB,Emirates,2024-01-18 14:00:00,259,224,False,False,18,EKEDIDXB1400
35,2024-01-18,GLA-DXB,Emirates,2024-01-18 20:00:00,427,382,False,False,34,EKGLADXB2000
36,2024-01-19,EDI-DXB,Emirates,2024-01-19 14:00:00,259,229,False,False,21,EKEDIDXB1400
37,2024-01-19,GLA-DXB,Emirates,2024-01-19 20:00:00,427,384,False,False,11,EKGLADXB2000
38,2024-01-20,EDI-DXB,Emirates,2024-01-20 14:00:00,259,221,True,False,8,EKEDIDXB1400
